date,Civilian Labor Force Level (000s) Period Chg,Labor Force Participation Rate Period Chg,Employment-Population Ratio Period Chg,Total Nonfarm Payrolls (000s) Period Chg,Average Hourly Earnings - All Employees Period Chg,Average Weekly Hours - All Employees Period Chg,Average Hourly Earnings - Production Workers Period Chg
1939-02-01,,,,0.59,,,
1939-03-01,,,,0.6,,,
1939-04-01,,,,-0.61,,,
1939-05-01,,,,0.68,,,
1939-06-01,,,,0.67,,,
1939-07-01,,,,-0.27,,,
1939-08-01,,,,0.8,,,
1939-09-01,,,,1.2,,,
1939-10-01,,,,1.22,,,
1939-11-01,,,,0.19,,,
1939-12-01,,,,0.23,,,
1940-01-01,,,,0.19,,,
1940-02-01,,,,0.35,,,
1940-03-01,,,,0.35,,,
1940-04-01,,,,-0.39,,,
1940-05-01,,,,0.56,,,
1940-06-01,,,,0.31,,,
1940-07-01,,,,-0.11,,,
1940-08-01,,,,1.28,,,
1940-09-01,,,,1.42,,,
1940-10-01,,,,1.39,,,
1940-11-01,,,,1.21,,,
1940-12-01,,,,1.5,,,
1941-01-01,,,,0.9,,,
1941-02-01,,,,1.05,,,
1941-03-01,,,,0.71,,,
1941-04-01,,,,1.07,,,
1941-05-01,,,,2.01,,,
1941-06-01,,,,1.29,,,
1941-07-01,,,,1.33,,,
1941-08-01,,,,1.1,,,
1941-09-01,,,,0.78,,,
1941-10-01,,,,0.3,,,
1941-11-01,,,,0.2,,,
1941-12-01,,,,0.21,,,
1942-01-01,,,,0.64,,,
1942-02-01,,,,0.43,,,
1942-03-01,,,,1.1,,,
1942-04-01,,,,1.07,,,
1942-05-01,,,,1.06,,,
1942-06-01,,,,0.65,,,
1942-07-01,,,,1.11,,,
1942-08-01,,,,1.27,,,
1942-09-01,,,,0.66,,,
1942-10-01,,,,0.62,,,
1942-11-01,,,,0.38,,,
1942-12-01,,,,0.58,,,
1943-01-01,,,,0.61,,,
1943-02-01,,,,0.52,,,
1943-03-01,,,,0.38,,,
1943-04-01,,,,0.22,,,
1943-05-01,,,,-0.12,,,
1943-06-01,,,,0.43,,,
1943-07-01,,,,-0.19,,,
1943-08-01,,,,-0.36,,,
1943-09-01,,,,-0.13,,,
1943-10-01,,,,0.43,,,
1943-11-01,,,,0.34,,,
1943-12-01,,,,-0.18,,,
1944-01-01,,,,-0.22,,,
1944-02-01,,,,-0.27,,,
1944-03-01,,,,-0.57,,,
1944-04-01,,,,-0.55,,,
1944-05-01,,,,-0.19,,,
1944-06-01,,,,-0.09,,,
1944-07-01,,,,-0.1,,,
1944-08-01,,,,-0.13,,,
1944-09-01,,,,-0.41,,,
1944-10-01,,,,0.07,,,
1944-11-01,,,,0.01,,,
1944-12-01,,,,0.36,,,
1945-01-01,,,,0.08,,,
1945-02-01,,,,0.0,,,
1945-03-01,,,,-0.24,,,
1945-04-01,,,,-0.84,,,
1945-05-01,,,,-0.34,,,
1945-06-01,,,,-0.38,,,
1945-07-01,,,,-0.67,,,
1945-08-01,,,,-1.0,,,
1945-09-01,,,,-4.84,,,
1945-10-01,,,,0.24,,,
1945-11-01,,,,1.03,,,
1945-12-01,,,,0.29,,,
1946-01-01,,,,1.84,,,
1946-02-01,,,,-1.47,,,
1946-03-01,,,,2.42,,,
1946-04-01,,,,1.79,,,
1946-05-01,,,,1.07,,,
1946-06-01,,,,0.93,,,
1946-07-01,,,,1.0,,,
1946-08-01,,,,1.16,,,
1946-09-01,,,,0.64,,,
1946-10-01,,,,0.41,,,
